id,race_id,name,features
34,10,Scourge Aasimar,"[{""name"":""Radiant Consumption"",""description"":""Wreathe yourself in radiant energy, damaging both you and nearby foes each turn.""}]"
35,10,Fallen Aasimar,"[{""name"":""Necrotic Shroud"",""description"":""Exude an aura of dread that causes creatures to become frightened.""}]"
36,11,Air Genasi,"[{""name"":""Unending Breath"",""description"":""You can hold your breath indefinitely while not incapacitated.""}]"
37,11,Earth Genasi,"[{""name"":""Earth Walk"",""description"":""Move across difficult terrain made of earth/stone without extra movement.""}]"
38,11,Fire Genasi,"[{""name"":""Reach to the Blaze"",""description"":""Produce Flame cantrip; Burning Hands (3rd lvl) once per long rest.""}]"
39,11,Water Genasi,"[{""name"":""Acid Resistance"",""description"":""You have resistance to acid damage, can breathe underwater, and have a swim speed.""}]"
40,5,Black Dragonborn,"[{""name"":""Black Dragon Ancestry"",""description"":""You have resistance to acid damage, and your breath weapon deals acid damage in a 5x30 ft. line.""}]"
41,5,Blue Dragonborn,"[{""name"":""Blue Dragon Ancestry"",""description"":""You have resistance to lightning damage, and your breath weapon deals lightning damage in a 5x30 ft. line.""}]"
42,5,Brass Dragonborn,"[{""name"":""Brass Dragon Ancestry"",""description"":""You have resistance to fire damage, and your breath weapon deals fire damage in a 5x30 ft. line.""}]"
43,5,Bronze Dragonborn,"[{""name"":""Bronze Dragon Ancestry"",""description"":""You have resistance to lightning damage, and your breath weapon deals lightning damage in a 5x30 ft. line.""}]"
44,5,Copper Dragonborn,"[{""name"":""Copper Dragon Ancestry"",""description"":""You have resistance to acid damage, and your breath weapon deals acid damage in a 5x30 ft. line.""}]"
45,5,Gold Dragonborn,"[{""name"":""Gold Dragon Ancestry"",""description"":""You have resistance to fire damage, and your breath weapon deals fire damage in a 15 ft. cone.""}]"
46,5,Green Dragonborn,"[{""name"":""Green Dragon Ancestry"",""description"":""You have resistance to poison damage, and your breath weapon deals poison damage in a 15 ft. cone.""}]"
47,5,Red Dragonborn,"[{""name"":""Red Dragon Ancestry"",""description"":""You have resistance to fire damage, and your breath weapon deals fire damage in a 15 ft. cone.""}]"
48,5,Silver Dragonborn,"[{""name"":""Silver Dragon Ancestry"",""description"":""You have resistance to cold damage, and your breath weapon deals cold damage in a 15 ft. cone.""}]"
49,5,White Dragonborn,"[{""name"":""White Dragon Ancestry"",""description"":""You have resistance to cold damage, and your breath weapon deals cold damage in a 15 ft. cone.""}]"
50,5,Amethyst Dragonborn,"[{""name"":""Amethyst Dragon Ancestry"",""description"":""You have resistance to force damage, and your breath weapon deals force damage in a 15 ft. cone.""}]"
51,5,Crystal Dragonborn,"[{""name"":""Crystal Dragon Ancestry"",""description"":""You have resistance to radiant damage, and your breath weapon deals radiant damage in a 15 ft. cone.""}]"
52,5,Emerald Dragonborn,"[{""name"":""Emerald Dragon Ancestry"",""description"":""You have resistance to psychic damage, and your breath weapon deals psychic damage in a 15 ft. cone.""}]"
53,5,Sapphire Dragonborn,"[{""name"":""Sapphire Dragon Ancestry"",""description"":""You have resistance to thunder damage, and your breath weapon deals thunder damage in a 15 ft. cone.""}]"
54,5,Topaz Dragonborn,"[{""name"":""Topaz Dragon Ancestry"",""description"":""You have resistance to necrotic damage, and your breath weapon deals necrotic damage in a 15 ft. cone.""}]"

